# N=6, th=1.047, th_k=0.7853
# Step || Energy || T_eff
4.100000000000000000e+01 -2.432152239934069482e-01 9.390449156941807018e+01
4.200000000000000000e+01 -4.546879656765981381e-01 5.020159949260104071e+01
4.300000000000000000e+01 -6.642266420762101831e-01 3.433996451825195351e+01
4.400000000000000000e+01 -1.736443535114890468e-01 1.000000000000000000e+02
4.500000000000000000e+01 -1.729511594995862545e-01 1.000000000000000000e+02
4.600000000000000000e+01 -8.888635715355625022e-01 2.563684389000599140e+01
4.700000000000000000e+01 -2.682646797783715953e-01 8.513109585482496300e+01
4.800000000000000000e+01 1.511007571594169818e-01 1.000000000000000000e+02
4.900000000000000000e+01 -4.190623985942582008e-01 5.447519782264919286e+01
5.000000000000000000e+01 -2.377628093964796463e-01 9.605911772671224469e+01
5.100000000000000000e+01 1.379359300206887129e-01 1.000000000000000000e+02
5.200000000000000000e+01 2.732403093582292386e-01 1.000000000000000000e+02
5.300000000000000000e+01 -5.931938027392509305e-01 3.846220791490516433e+01
5.400000000000000000e+01 -5.931938027392509305e-01 3.846220791490516433e+01
5.500000000000000000e+01 -5.931938027392509305e-01 3.846220791490516433e+01
5.600000000000000000e+01 5.055548352657002892e-02 1.000000000000000000e+02
5.700000000000000000e+01 -6.068593662904079311e-01 3.759424153405912961e+01
5.800000000000000000e+01 -3.518018749563078251e-01 6.490252279974795613e+01
5.900000000000000000e+01 -3.518018749563078251e-01 6.490252279974795613e+01
6.000000000000000000e+01 -2.084920147139792956e-01 1.000000000000000000e+02
6.100000000000000000e+01 -2.084920147139792956e-01 1.000000000000000000e+02
6.200000000000000000e+01 -2.084920147139792956e-01 1.000000000000000000e+02
6.300000000000000000e+01 -4.083754098483178829e-01 5.590253173455474922e+01
6.400000000000000000e+01 2.694406644990023948e-03 1.000000000000000000e+02
6.500000000000000000e+01 -6.103208839615587022e-01 3.738054935345267893e+01
6.600000000000000000e+01 -4.252943097385894489e-01 5.367597628378943853e+01
6.700000000000000000e+01 4.703935315243015780e-01 1.000000000000000000e+02
6.800000000000000000e+01 -5.778361012340330616e-01 3.948661163014917719e+01
6.900000000000000000e+01 -6.269823434743401203e-01 3.638496575980573766e+01
7.000000000000000000e+01 9.479585689942750248e-02 1.000000000000000000e+02
7.100000000000000000e+01 -3.849530769012279169e-02 1.000000000000000000e+02
7.200000000000000000e+01 -8.569215465110493479e-01 2.659639774829099679e+01
7.300000000000000000e+01 -8.569215465110493479e-01 2.659639774829099679e+01
7.400000000000000000e+01 1.196982195075091543e-01 1.000000000000000000e+02
7.500000000000000000e+01 -2.121796579076341005e-01 1.000000000000000000e+02
7.600000000000000000e+01 -2.559302273502908620e-01 8.923654996656624405e+01
7.700000000000000000e+01 -2.559302273502908620e-01 8.923654996656624405e+01
7.800000000000000000e+01 -2.559302273502908620e-01 8.923654996656624405e+01
7.900000000000000000e+01 4.121853816336126797e-01 1.000000000000000000e+02
8.000000000000000000e+01 -8.872956052222170653e-01 2.568233621345996198e+01
8.100000000000000000e+01 -1.991918317838425601e-01 1.000000000000000000e+02
8.200000000000000000e+01 -3.614825001288858863e-01 6.316275514043713457e+01
8.300000000000000000e+01 -3.614825001288858863e-01 6.316275514043713457e+01
8.400000000000000000e+01 1.511082609633809526e-01 1.000000000000000000e+02
8.500000000000000000e+01 -2.014602361823704668e-01 1.000000000000000000e+02
8.600000000000000000e+01 -1.073775632268072003e-02 1.000000000000000000e+02
8.700000000000000000e+01 -5.635863754793762892e-01 4.048701193246657226e+01
8.800000000000000000e+01 -5.635863754793762892e-01 4.048701193246657226e+01
8.900000000000000000e+01 -1.573057885661626465e-01 1.000000000000000000e+02
9.000000000000000000e+01 1.432724977396398688e-02 1.000000000000000000e+02
9.100000000000000000e+01 -7.514160256557432804e-01 3.034476324859784313e+01
9.200000000000000000e+01 -2.258764983871489052e-01 1.000000000000000000e+02
9.300000000000000000e+01 3.775572693208878450e-02 1.000000000000000000e+02
9.400000000000000000e+01 -4.795848921612687610e-01 4.759176528916868421e+01
9.500000000000000000e+01 -4.795848921612687610e-01 4.759176528916868421e+01
9.600000000000000000e+01 -9.853002825741265236e-02 1.000000000000000000e+02
9.700000000000000000e+01 -9.703617834692267186e-02 1.000000000000000000e+02
9.800000000000000000e+01 -5.483955587704388845e-01 4.161070022624424780e+01
9.900000000000000000e+01 -1.157709777096065235e-01 1.000000000000000000e+02
