# N=6, th=1.047, th_k=0.7853
# Step || Energy || T_eff
0.000000000000000000e+00 -1.396000000000002395e+01 6.300285695090784843e-01
1.000000000000000000e+00 -3.252108808915318838e-01 7.021423343151010954e+01
2.000000000000000000e+00 4.648130038697036781e+00 1.000000000000000000e+02
3.000000000000000000e+00 -4.501051720065722073e+00 4.849287880098763104e+00
4.000000000000000000e+00 -5.941534704831498814e+00 3.550196640291344963e+00
5.000000000000000000e+00 2.437543558448963754e+00 1.000000000000000000e+02
6.000000000000000000e+00 1.531424593643719856e+00 1.000000000000000000e+02
7.000000000000000000e+00 -4.891459681070720045e+00 4.426031277379438578e+00
8.000000000000000000e+00 -1.918065438000668976e+00 1.179960207522129600e+01
9.000000000000000000e+00 2.382266666269623467e+00 1.000000000000000000e+02
1.000000000000000000e+01 -9.758719676676399502e-01 2.334121597900408673e+01
1.100000000000000000e+01 -3.137084302915408074e+00 7.117692968912722407e+00
1.200000000000000000e+01 -1.535498151995337845e-01 1.000000000000000000e+02
1.300000000000000000e+01 6.931536431843444701e-01 1.000000000000000000e+02
1.400000000000000000e+01 -1.020529830236792890e+00 2.231473409898931237e+01
1.500000000000000000e+01 -2.354869941736985606e+00 9.571143840399118474e+00
1.600000000000000000e+01 1.443320509474653734e-01 1.000000000000000000e+02
1.700000000000000000e+01 6.024542014871993034e-01 1.000000000000000000e+02
1.800000000000000000e+01 -1.370061472084565413e+00 1.658785670383868194e+01
1.900000000000000000e+01 -1.555474949740790924e+00 1.459199809790735536e+01
2.000000000000000000e+01 4.064609490029199024e-01 1.000000000000000000e+02
2.100000000000000000e+01 4.882572001869305844e-01 1.000000000000000000e+02
2.200000000000000000e+01 -1.623480950152781599e+00 1.397376897251083072e+01
2.300000000000000000e+01 -8.991700274407038451e-01 2.534175982865368226e+01
2.400000000000000000e+01 3.436646392194095956e-01 1.000000000000000000e+02
2.500000000000000000e+01 -6.687803423311231565e-01 3.410554577565392265e+01
2.600000000000000000e+01 -1.950540875304106692e+00 1.159987159359882547e+01
2.700000000000000000e+01 -7.729840878630493683e-02 1.000000000000000000e+02
2.800000000000000000e+01 1.159280859611349079e-01 1.000000000000000000e+02
2.900000000000000000e+01 -8.942767743533692748e-01 2.548101173815559761e+01
3.000000000000000000e+01 -7.514767173818245327e-01 3.034230481764044640e+01
3.100000000000000000e+01 3.365518126197862281e-01 1.000000000000000000e+02
3.200000000000000000e+01 -7.177847307006574029e-01 3.177093908085269192e+01
3.300000000000000000e+01 -1.024970519016901171e+00 2.221754320126611404e+01
3.400000000000000000e+01 2.498549206337883147e-02 1.000000000000000000e+02
3.500000000000000000e+01 -3.567902604995913385e-01 6.399424055517636845e+01
3.600000000000000000e+01 -7.318308341095256520e-01 3.115937243747375618e+01
3.700000000000000000e+01 -4.330687490259722550e-01 5.271116665757190134e+01
3.800000000000000000e+01 -6.093285404830212082e-01 3.744156227854040253e+01
3.900000000000000000e+01 -4.939745550333892177e-01 4.620327836940572297e+01
4.000000000000000000e+01 -6.222975136148094499e-01 3.665951782061521413e+01
